21:21	kjkz				Quelle accusation les Juifs portaient-ils contre Paul ?	Les Juifs accusaient Paul d'enseigner aux Juifs qui vivaient parmi les Gentils d'abandonner Moïse.

21:24	mvn9				Pourquoi Jacques et les anciens voulaient-ils que Paul se purifie avec les quatre hommes qui avaient fait un vœu ?	Ils voulaient que tout le monde sache que Paul, en tant que Juif, vivait aussi de manière à respecter la loi.

21:25	wg6c				Qu'est-ce que Jacques a dit que les païens qui ont cru devaient faire ?	Jacques a dit que les païens devaient se garder des sacrifices aux idoles, du sang, de ce qui est étranglé et de la fornication.

21:28	zmvk				Quelles accusations certains Juifs d'Asie ont-ils portées contre Paul dans le temple ?	Les Juifs ont accusé Paul d'enseigner contre la loi et de souiller le temple en y faisant entrer des Grecs.

21:31	oa6d				Après avoir porté ces accusations, qu'ont fait les Juifs à Paul ?	Les Juifs ont traîné Paul hors du temple et ont essayé de le tuer.

21:33	jbdu				Qu'a fait le chef des gardes quand il a entendu que Jérusalem était en émoi ?	Le tribun se saisit de Paul et le fit lier avec deux chaînes, lui demandant qui il était et ce qu'il avait fait.

21:36	utw8				Que criait la foule lorsque les soldats ont porté Paul dans la forteresse ?	La foule criait : "Emmenez-le !"

21:39	yplb				Quelle demande Paul a-t-il faite au capitaine en chef ?	Paul a demandé qu'on lui permette de parler au peuple.

21:40	ef4a				Dans quelle langue Paul s'est-il adressé aux habitants de Jérusalem ?	Paul a parlé en hébreu aux habitants de Jérusalem.

22:2	a3o8				Quand la foule a entendu Paul parler en hébreu, qu'a-t-elle fait ?	Lorsque la foule a entendu Paul parler en hébreu, elle s'est tue.

22:3	qu9m				Où Paul a-t-il fait ses études, et qui était son professeur ?	Paul a été éduqué à Jérusalem, et Gamaliel était son professeur.

22:4	adul				Comment Paul avait-il traité ceux qui suivaient le Chemin ?	Paul avait persécuté jusqu'à la mort ceux qui suivaient le Chemin, et les avait livrés en prison.

22:7	cm8q				Qu'a dit la voix du ciel à Paul alors qu'il approchait de Damas ?	La voix du ciel dit : "Saul, Saul, pourquoi me persécutes-tu ?"

22:8	zijd				Qui Paul persécutait-il ?	Paul persécutait Jésus de Nazareth.

22:11	sdpe				Pourquoi Paul ne pouvait-il plus voir ?	Paul ne pouvait plus voir à cause de l'éclat de la lumière qu'il a vue en approchant de Damas.

22:12-13	rm9u				Comment la vue de Paul a-t-elle été restaurée ?	Un homme pieux du nom d'Ananias vint se placer près de Paul et lui dit : "Frère Saul, recouvre la vue".

22:16	htcq				Qu'est-ce qu'Ananias a dit à Paul de se lever et de faire, et pourquoi ?	Ananias a dit à Paul de se lever et de se faire baptiser pour se laver de ses péchés.

22:18	zmch				Lorsque Jésus a parlé à Paul dans le temple, comment a-t-il dit que les Juifs réagiraient au témoignage de Paul à son sujet ?	Jésus a dit que les Juifs n'accepteraient pas le témoignage de Paul à son sujet.

22:21	crzp				A qui Jésus a-t-il alors envoyé Paul ?	Jésus a envoyé Paul aux païens.

22:23	j06r				Comment les gens ont-ils réagi lorsqu'ils ont entendu Paul parler des Gentils ?	Les gens criaient et jetaient leurs vêtements, lançant de la poussière en l'air.

22:25	z2bb				Quelle question Paul a-t-il posée au centurion juste avant d'être flagellé ?	Paul a demandé s'il était légal pour lui d'être flagellé en tant que citoyen romain non condamné.

22:28	h51g				Comment Paul était-il devenu un citoyen romain ?	Paul était né citoyen romain.

22:30	n7lu				Qu'a fait le capitaine en chef quand il a appris que Paul était un citoyen romain ?	Le tribun détacha les liens de Paul, et ordonna aux chefs des prêtres et à tout le conseil de se réunir, plaçant Paul au milieu d'eux.

23:1-2	bh26				Pourquoi le grand prêtre a-t-il ordonné à ceux qui se tenaient près de Paul de le frapper sur la bouche ?	Le grand prêtre était en colère parce que Paul avait dit qu'il avait vécu devant Dieu en toute bonne conscience.

23:6	iczg				Pour quelle raison Paul a-t-il dit qu'il était jugé devant le conseil ?	Paul a dit qu'il était jugé à cause de sa confiance dans la résurrection.

23:7-8	p875				Pourquoi une dispute a-t-elle commencé dans le conseil lorsque Paul a donné la raison pour laquelle il a été jugé ?	Une dispute a commencé parce que les Pharisiens disent qu'il y a une résurrection, mais les Sadducéens disent qu'il n'y a pas de résurrection.

23:10	l9tz				Pourquoi le capitaine en chef a-t-il emmené Paul du conseil à la forteresse ?	Le capitaine en chef craignait que Paul ne soit mis en pièces par les membres du conseil.

23:11	l8yd				Quelle promesse le Seigneur a-t-il donnée à Paul la nuit suivante ?	Le Seigneur a dit à Paul de ne pas craindre, car il allait rendre témoignage à Jérusalem et à Rome.

23:12-13	i7yf				Quel pacte concernant Paul certains hommes juifs ont-ils conclu ?	Une quarantaine d'hommes juifs ont fait le pacte de ne pas manger ni boire avant d'avoir tué Paul.

23:14-15	exnu				Quel était le plan que les quarante hommes juifs ont présenté aux chefs des prêtres et aux anciens ?	Ils ont demandé aux chefs des prêtres et aux anciens de faire venir Paul au conseil pour pouvoir le tuer avant qu'il n'arrive.

23:16	lik5				Comment Paul a-t-il appris le projet des quarante hommes juifs ?	Le fils de la soeur de Paul a entendu parler du plan et l'a dit à Paul.

23:23-24	xj40				Comment le capitaine en chef a-t-il réagi lorsqu'il a appris le plan des quarante hommes juifs ?	Le capitaine en chef a ordonné à une garde nombreuse de conduire Paul en toute sécurité à Félix le gouverneur à la troisième heure de la nuit.

23:29	krfj				Dans sa lettre à Félix le gouverneur, que dit le capitaine en chef au sujet des accusations portées contre Paul ?	Le capitaine en chef a déclaré que Paul ne méritait ni la mort ni l'emprisonnement, mais que les accusations portaient sur des questions concernant la loi juive.

23:35	ewf2				Quand le gouverneur Félix a-t-il dit qu'il entendrait la cause de Paul ?	Félix a dit qu'il entendrait la cause de Paul quand les accusateurs de Paul arriveraient.

23:35	csoo				Où Paul était-il gardé jusqu'à son procès ?	Paul a été gardé dans le palais d'Hérode jusqu'à son procès.

24:5	rdw3				De quelle secte Tertullus a-t-il dit que Paul était un leader ?	Tertullus a dit que Paul était un leader de la secte des Nazaréens.

24:5-6	jd68				Quelles accusations l'orateur Tertullus a-t-il portées contre Paul ?	Tertullus accusait Paul de provoquer la rébellion des Juifs et de profaner le temple.

24:12	oy41				Qu'est-ce que Paul a dit qu'il avait fait dans le temple, les synagogues et la ville ?	Paul a dit qu'il ne s'était disputé avec personne et qu'il n'avait pas soulevé de foule.

24:14	ylrl				A quoi Paul a-t-il dit qu'il était fidèle ?	Paul a dit qu'il était fidèle à tout ce qui est dans la loi et les écrits des prophètes.

24:15	fso7				Quel espoir Paul a-t-il partagé avec les Juifs qui l'accusaient ?	Ils partageaient la même confiance en Dieu concernant la résurrection à venir des morts justes et injustes.

24:17	ndj8				Pourquoi Paul a-t-il dit qu'il était venu à Jérusalem ?	Paul a dit qu'il était venu apporter de l'aide à sa nation et des dons en argent.

24:18	r8yz				Qu'est-ce que Paul a dit qu'il faisait dans le temple lorsqu'il a été trouvé par certains Juifs d'Asie ?	Paul a dit qu'il était dans une cérémonie de purification quand il a été trouvé.

24:22	v2dj				Sur quoi le gouverneur Felix était-il bien informé ?	Le gouverneur Felix était bien informé sur le Chemin.

24:22	d1ji				Quand Félix a-t-il dit qu'il déciderait de l'affaire de Paul ?	Félix dit qu'il décidera du cas de Paul quand le commandant Lusias viendra de Jérusalem.

24:24-25	b78w				Après quelques jours, de quoi Paul a-t-il parlé à Félix ?	Paul a parlé à Félix de la foi en Jésus-Christ, de la rigueur, de la maîtrise de soi et du jugement à venir.

24:25	bcmp				Comment Félix a-t-il réagi après avoir entendu Paul ?	Félix prit peur et demanda à Paul de s'en aller pour le moment.

24:27	sx9a				Après deux ans, pourquoi Félix a-t-il laissé Paul sous bonne garde lorsque le nouveau gouverneur est arrivé ?	Félix a laissé Paul sous bonne garde parce qu'il voulait gagner la faveur des Juifs.

25:3	l85w				Quelle faveur le grand prêtre et les juifs éminents ont-ils demandé à Festus ?	Ils ont demandé à Festus d'appeler Paul à Jérusalem afin de pouvoir tuer Paul en chemin.

25:5	rh9q				Qu'est-ce que Festus a dit au grand prêtre et aux juifs éminents de faire ?	Festus leur dit d'aller à Césarée, où Festus se rendait, et qu'ils pourraient y accuser Paul.

25:9	haz8				Pendant qu'il jugeait le cas de Paul à Césarée, quelle question Festus a-t-il posée à Paul ?	Festus a demandé à Paul s'il voulait monter à Jérusalem et y être jugé.

25:9	tfii				Pourquoi Festus a-t-il posé cette question à Paul ?	Festus a posé cette question à Paul parce qu'il voulait gagner la faveur des Juifs.

25:10	g7y7				Quelle a été la réponse de Paul à la question de Festus ?	Paul a dit qu'il se tenait devant le siège du jugement de César où il doit être jugé.

25:12	cyst				Qu'est-ce que Festus a décidé de faire avec le cas de Paul ?	Festus a décidé que puisque Paul avait invoqué César, il devait aller voir César.

25:16	ayma				Selon Festus, quelle était la coutume légale chez les Romains concernant les personnes accusées de crimes ?	Festus a dit que les Romains donnaient à la personne accusée l'occasion de faire face à ses accusateurs et de se défendre contre les accusations.

25:19	qvr4				Selon Festus, quelles accusations les Juifs ont-ils portées contre Paul ?	Festus dit que les accusations portent sur certaines disputes concernant leur religion et un certain Jésus qui était mort, mais Paul prétendait être vivant.

25:26	r9ht				Pourquoi Festus a-t-il fait venir Paul pour parler devant le roi Agrippa ?	Festus voulait que le roi Agrippa l'aide à écrire quelque chose de logique sur le cas de Paul à l'empereur.

25:27	cazj				Qu'est-ce que Festus a dit qu'il serait déraisonnable pour lui de faire en envoyant Paul à l'empereur ?	Festus a dit qu'il serait déraisonnable pour lui d'envoyer Paul à l'empereur sans énoncer les accusations portées contre lui.

26:3	lhsc				Pourquoi Paul était-il heureux de pouvoir faire sa défense devant le roi Agrippa ?	Paul était heureux de pouvoir présenter sa défense devant le roi Agrippa, car ce dernier était un expert de toutes les coutumes et questions juives.

26:5	npot				Comment Paul a-t-il vécu sa jeunesse à Jérusalem ?	Paul a vécu comme un pharisien, une secte très stricte du judaïsme.

26:6-8	tqyx				Quelle promesse de Dieu, selon Paul, les Juifs et lui espèrent-ils atteindre ?	Paul dit que lui et les Juifs espèrent atteindre la promesse de la résurrection.

26:9-11	z9dq				Avant sa conversion, que faisait Paul contre le nom de Jésus de Nazareth ?	Paul enfermait de nombreux saints en prison, approuvait lorsqu'ils étaient tués, et les poursuivait dans des villes étrangères.

26:13	u2n0				Qu'a vu Paul sur le chemin de Damas ?	Paul a vu une lumière venant du ciel qui était plus brillante que le soleil.

26:14	x3qr				Qu'a entendu Paul sur le chemin de Damas ?	Paul a entendu une voix qui disait : "Saul, Saul, pourquoi me persécutes-tu ?"

26:15	hugg				Qui parlait à Paul sur le chemin de Damas ?	Jésus parlait à Paul sur le chemin de Damas.

26:16-17	hapl				Quel rôle Jésus a-t-il confié à Paul ?	Jésus a désigné Paul pour être un serviteur et un témoin auprès des païens.

26:18	slk7				Qu'est-ce que Jésus a dit qu'il voulait que les Gentils reçoivent ?	Jésus a dit qu'il voulait que les païens reçoivent le pardon des péchés et l'héritage de Dieu.

26:20	wv4s				Quelles sont les deux choses que Paul dit avoir prêchées partout où il est allé ?	Paul dit qu'il a prêché pour que le peuple se repente et se tourne vers Dieu, en faisant des actes dignes de la repentance.

26:22-23	vys1				Qu'est-ce que les prophètes et Moïse ont dit qu'il arriverait ?	Les prophètes et Moïse ont dit que le Christ devait souffrir, être ressuscité d'entre les morts et proclamer la lumière au peuple juif et aux païens.

26:24-25	vcev				Qu'a pensé Festus de Paul après avoir entendu la défense de ce dernier ?	Festus pensait que Paul était fou.

26:28-29	awnl				Quel était le désir de Paul pour le roi Agrippa ?	Paul souhaitait que le roi Agrippa devienne chrétien.

26:31-32	sy5w				Quelle conclusion Agrippa, Festus et Bérénice ont-ils tirée des accusations portées contre Paul ?	Ils étaient d'accord pour dire que Paul n'avait rien fait qui mérite la mort ou la prison, et qu'il aurait pu être libéré s'il n'avait pas fait appel à César.

27:3	u21g				Comment le centurion Julius a-t-il traité Paul au début du voyage vers Rome ?	Julius a traité Paul avec gentillesse et lui a permis d'aller chez ses amis et de recevoir leurs soins.

27:7-8	exei				Quelle île le bateau de Paul a-t-il contourné avec difficulté ?	Le navire a navigué autour de l'île de Crète avec difficulté.

27:10-11	slb6				Pourquoi le centurion Julius n'a-t-il pas suivi l'avertissement de Paul sur les dangers de continuer à naviguer ?	Julius n'a pas suivi l'avertissement de Paul car il a prêté plus d'attention au propriétaire du bateau.

27:14	elvz				Après un début de voyage en douceur, quel vent a commencé à s'abattre sur le navire ?	Après un départ en douceur, un vent appelé "Northeaster" a commencé à s'abattre sur le navire.

27:20	vwtk				Après plusieurs jours, quel espoir a été abandonné par l'équipage du navire ?	Après plusieurs jours, l'équipage a abandonné tout espoir d'être sauvé.

27:23-24	qalr				Quel message un ange de Dieu a-t-il donné à Paul concernant les gens du voyage ?	L'ange a dit à Paul que lui et tous les marins survivraient.

27:27	j9uo				À minuit, la quatorzième nuit, qu'est-ce que les marins pensent qu'il arrive au navire ?	Les marins pensaient que le navire s'approchait d'une terre.

27:30	sfr8				Qu'est-ce que les marins cherchaient à faire ?	Les marins cherchaient un moyen d'abandonner le navire.

27:31	ecqb				Qu'a dit Paul au centurion et aux soldats au sujet des marins ?	Paul a dit au centurion et aux soldats que si les marins ne restaient pas sur le bateau, le centurion et les soldats ne pourraient pas être sauvés.

27:33	qjxi				Lorsque le jour se levait, qu'est-ce que Paul a demandé à tout le monde de faire ?	Paul a exhorté tout le monde à prendre de la nourriture.

27:39-41	ltfs				Comment l'équipage a-t-il décidé d'amener le bateau sur la plage, et que s'est-il passé ?	L'équipage a décidé d'amener le navire sur la plage en naviguant directement vers la plage, mais la proue du navire est restée coincée sur le sol et la poupe a commencé à se briser.

27:42	g9mo				Qu'allaient faire les soldats avec les prisonniers à ce moment-là ?	Les soldats allaient tuer les prisonniers pour qu'aucun d'entre eux ne puisse s'échapper.

27:43	vtui				Pourquoi le centurion a-t-il arrêté le plan des soldats ?	Le centurion a arrêté le plan des soldats parce qu'il voulait sauver Paul.

27:44	o5br				Comment toutes les personnes à bord du navire sont-elles arrivées à terre sans encombre ?	Ceux qui savaient nager sautaient d'abord par-dessus bord, et les autres suivaient sur des planches ou d'autres objets du navire.

28:2	bqf6				Comment les autochtones de l'île de Malte ont-ils traité Paul et l'équipage du navire ?	Les gens les ont traités avec une gentillesse non ordinaire.

28:4	h6xz				Qu'ont pensé les gens en voyant la vipère suspendue à la main de Paul ?	Le peuple pensait que Paul était un meurtrier à qui la justice ne permettait pas de vivre.

28:6	ivas				Qu'ont pensé les gens quand ils ont vu que Paul n'avait pas été tué par la vipère ?	Le peuple pensait que Paul était un dieu.

28:8-9	v6vr				Que s'est-il passé après que Paul ait guéri le père de Publius, le chef de l'île ?	Les autres malades de l'île sont également venus et ont été guéris.

28:11	ch6i				Combien de temps Paul et l'équipage sont-ils restés sur l'île de Malte ?	Paul et l'équipage sont restés sur l'île de Malte pendant trois mois.

28:15	iz0e				Qu'a fait Paul lorsqu'il a vu les frères de Rome qui étaient venus à sa rencontre ?	Quand il a vu les frères, Paul a remercié Dieu et a pris courage.

28:16	nat0				Quelles étaient les conditions de vie de Paul à Rome en tant que prisonnier ?	Paul a été autorisé à vivre seul avec un soldat qui le gardait.

28:20	is6p				Pour quelle raison Paul a-t-il dit aux chefs juifs de Rome qu'il avait été enchaîné ?	Paul a dit aux dirigeants juifs de Rome qu'il avait été enchaîné pour la confiance d'Israël.

28:22	gu6b				Que savaient les dirigeants juifs de Rome de la secte des chrétiens ?	Les dirigeants juifs de Rome savaient que la secte était dénoncée partout.

28:23	mj7v				Lorsque les chefs juifs sont revenus vers Paul dans sa maison, qu'est-ce que Paul a essayé de faire du matin au soir ?	Paul a essayé de les persuader au sujet de Jésus, à partir de la loi de Moïse et des prophètes.

28:24	ns9t				Quelle a été la réaction des chefs juifs à la présentation de Paul ?	Certains des chefs juifs étaient convaincus, tandis que d'autres ne croyaient pas.

28:26	dp9e				Que dit le dernier passage cité par Paul au sujet des chefs juifs qui n'ont pas cru ?	Le dernier texte biblique cité par Paul dit que ceux qui ne croient pas ne comprendront ni ne percevront ce qu'ils entendent et voient.

28:28	bq91				Où Paul a-t-il dit que le message de salut de Dieu avait été envoyé, et quelle serait la réponse ?	Paul a dit que le message de salut de Dieu avait été envoyé aux païens, et qu'ils allaient écouter.

28:31	cb7a				Qu'a fait Paul pendant qu'il était prisonnier à Rome ?	Paul a prêché le royaume de Dieu et a enseigné le Seigneur Jésus-Christ en toute hardiesse.

28:31	eea2				Qui a empêché Paul de prêcher et d'enseigner alors qu'il était prisonnier à Rome pendant deux ans ?	Personne ne l'a arrêté.
